name	unknotting_number	three_genus	bridge_index	braid_index	signature	alexander_polynomial	jones_polynomial	homfly_polynomial	determinant	volume
Name	Unknotting Number	Genus	Bridge Index	Braid Index	Signature	Alexander	Jones	HOMFLY	Determinant	Volume
0_1	0	0	1	1	0	1	1		0	
3_1	1	1	2	2	-2	1-t+ t^2	t+ t^3-t^4	(2*v^2-v^4)+ (v^2)*z^2	3	0
4_1	1	1	2	3	0	1-3*t+ t^2	t^(-2)-t^(-1)+ 1-t+ t^2	(v^(-2)-1+ v^2)+ (-1)*z^2	5	2.029883213
5_1	2	2	2	2	-4	1-t+ t^2-t^3+ t^4	t^2+ t^4-t^5+ t^6-t^7	(3*v^4-2*v^6)+ (4*v^4-v^6)*z^2+ (v^4)*z^4	5	0
5_2	1	1	2	3	-2	2-3*t+ 2*t^2	t-t^2+ 2*t^3-t^4+ t^5-t^6	(v^2+ v^4-v^6)+ (v^2+ v^4)*z^2	7	2.828122088
6_1	1	1	2	4	0	2-5*t+ 2*t^2	t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4	(v^(-2)-v^2+ v^4)+ (-1-v^2)*z^2	9	3.163963229
6_2	1	2	2	3	-2	1-3*t+ 3*t^2-3*t^3+ t^4	t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5	(2-2*v^2+ v^4)+ (1-3*v^2+ v^4)*z^2+ (-v^2)*z^4	11	4.400832516
6_3	1	2	2	3	0	1-3*t+ 5*t^2-3*t^3+ t^4	-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3	(-v^(-2)+ 3-v^2)+ (-v^(-2)+ 3-v^2)*z^2+ (1)*z^4	13	5.693021091
7_1	3	3	2	2	-6	1-t+ t^2-t^3+ t^4-t^5+ t^6	t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10	(4*v^6-3*v^8)+ (10*v^6-4*v^8)*z^2+ (6*v^6-v^8)*z^4+ (v^6)*z^6	7	0
7_2	1	1	2	4	-2	3-5*t+ 3*t^2	t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8	(v^2+ v^6-v^8)+ (v^2+ v^4+ v^6)*z^2	11	3.331744232
7_3	2	2	2	3	-4	2-3*t+ 3*t^2-3*t^3+ 2*t^4	t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9	(v^4+ 2*v^6-2*v^8)+ (3*v^4+ 3*v^6-v^8)*z^2+ (v^4+ v^6)*z^4	13	4.592125697
7_4	2	1	2	4	-2	4-7*t+ 4*t^2	t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8	(2*v^4-v^8)+ (v^2+ 2*v^4+ v^6)*z^2	15	5.137941202
7_5	2	2	2	3	-4	2-4*t+ 5*t^2-4*t^3+ 2*t^4	t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9	(2*v^4-v^8)+ (3*v^4+ 2*v^6-v^8)*z^2+ (v^4+ v^6)*z^4	17	6.443537381
7_6	1	2	2	4	-2	1-5*t+ 7*t^2-5*t^3+ t^4	t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6	(1-v^2+ 2*v^4-v^6)+ (1-2*v^2+ 2*v^4)*z^2+ (-v^2)*z^4	19	7.084925954
7_7	1	2	2	4	0	1-5*t+ 9*t^2-5*t^3+ t^4	t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3	(v^(-4)-2*v^(-2)+ 2)+ (-2*v^(-2)+ 2-v^2)*z^2+ (1)*z^4	21	7.643375172
8_1	1	1	2	5	0	3-7*t+ 3*t^2	t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6	(v^(-2)-v^4+ v^6)+ (-1-v^2-v^4)*z^2	13	3.427205246
8_2	2	3	2	3	-4	1-3*t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ t^6	1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8	(3*v^2-3*v^4+ v^6)+ (4*v^2-7*v^4+ 3*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4+ (-v^4)*z^6	17	4.935242678
8_3	2	1	2	5	0	4-9*t+ 4*t^2	t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4	(v^(-4)-1+ v^4)+ (-v^(-2)-2-v^2)*z^2	17	5.238684101
